Boton,Modulo,Opcion,Detalle,Acción,Estado,Observaciones
Gestiones,Documentacion,Consultar Vencimientos,Agregar icono al boton cerrar,Reparar,Arreglado,
Clientes,,"Ver Detalle, modificar Cliente","en el modulo clientes, cuando listo los cliente y quiero ver el detalle de uno, y luego cierro la ventana y despues voy a modificar cliente, siempre me aparece solo el modo vista, no me deja modificar el cliente algunas variable queda seteada y siempre que ingreso para modificar cliente, solo me deja verlo",Reparar,Arreglado,
Gestiones,Documentacion,Todos,"La referencia de Documentos_presentados a tipo_de_documento, es un problema porque si modificamos en un futuro los datos de ese tipo de documento, te cambia todo, por ejemplo si vence, se deberían agregar los atributos de tipo de documento a documentos presentados para que esto no pase. Ver que hacemos con esto, si lo cambiamos ahora o despues.",Reparar,Arreglado,
Administración,Plantillas Presupuesto,Modificar/Eliminar Plantilla de presupuesto,"jugando con la concurrencia, hay algunos casos en los cuales pueden lanzarse excepciones y eliminar una plantilla mientras se esta modificando",Reparar,Arreglado,
Gestiones,Escritura,Modificar Escritura,No anda el control de concurrencia,Reparar,Arreglado,
Protocolo,Folios,Modificar folio,"Cambiar nombre del boton actualizar grilla a buscar y poner icono, borrar boton de la cruz!",Reparar,Arreglado,
Todos,Busquedas,Busquedas,"No mostrar el usuario administrador, cuando se realizan busqueda de aproxmacion o por tipo y numero de identificacion de personas.",Reparar,Arreglado,
Gestiones,Escritura,Preparar escritura,"Agregar DTOTramite en la grilla y comparar por ID de tramite, no por tipo de tramite.",Reparar,Arreglado,
Administración,Escribanos,Consultar Suplencias,Falta icono a boton cerrar. Boton Actualizar deberia ser Buscar y poner icono,Reparar,Arreglado,
presupuestos,Crear Presupuesto,Crear Presupuesto,Lista de personas deforme,Reparar,Arreglado,
Presupuesto,todos,busquedas,"Presupuesto, en las búsquedas se cierra siempre, cuando no encuentra algo. No debería (Estaría Bueno!!",Reparar,Arreglado,
Gestiones,Gestion,Iniciar Gestion,"Puedo agregar el mismo cliente mas de una vez, en una gestión, cuando la inicio. ",Reparar,Arreglado,
